algorithm,prediction,actual,matches,precision,true_positives,false_positives,false_negatives,success,error,test_date,test_idx
Random Baseline,"[2, 17, 20, 21, 32, 35]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
Frequency Simple,"[30, 31, 40, 41, 44, 45]","[1, 19, 24, 25, 31, 38]",1,0.16666666666666666,1,5,5,True,,2025-11-05,0
Markov 1st Order,"[np.int64(10), np.int64(29), np.int64(30), np.int64(33), np.int64(45), np.int64(47)]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
Markov 2nd Order,"[np.int64(10), np.int64(29), np.int64(30), np.int64(33), np.int64(45), np.int64(47)]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
KNN (k=5),"[6, 21, 30, 36, 47, 48]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
KNN Ensemble,"[6, 21, 30, 36, 47, 48]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
XGBoost,"[6, 9, 17, 30, 36, 44]","[1, 19, 24, 25, 31, 38]",0,0.0,0,6,6,True,,2025-11-05,0
Random Baseline,"[1, 7, 8, 12, 36, 55]","[24, 31, 35, 40, 45, 51]",0,0.0,0,6,6,True,,2025-11-07,1
Frequency Simple,"[24, 30, 31, 40, 44, 45]","[24, 31, 35, 40, 45, 51]",4,0.6666666666666666,4,2,2,True,,2025-11-07,1
Markov 1st Order,"[np.int64(18), np.int64(39), np.int64(41), np.int64(45), np.int64(46), np.int64(50)]","[24, 31, 35, 40, 45, 51]",1,0.16666666666666666,1,5,5,True,,2025-11-07,1
Markov 2nd Order,"[np.int64(18), np.int64(39), np.int64(41), np.int64(45), np.int64(46), np.int64(50)]","[24, 31, 35, 40, 45, 51]",1,0.16666666666666666,1,5,5,True,,2025-11-07,1
KNN (k=5),"[1, 19, 24, 25, 31, 44]","[24, 31, 35, 40, 45, 51]",2,0.3333333333333333,2,4,4,True,,2025-11-07,1
KNN Ensemble,"[1, 19, 24, 25, 31, 38]","[24, 31, 35, 40, 45, 51]",2,0.3333333333333333,2,4,4,True,,2025-11-07,1
XGBoost,"[6, 25, 30, 31, 38, 44]","[24, 31, 35, 40, 45, 51]",1,0.16666666666666666,1,5,5,True,,2025-11-07,1
Random Baseline,"[20, 26, 36, 37, 40, 43]","[3, 16, 23, 30, 38, 53]",0,0.0,0,6,6,True,,2025-11-09,2
Frequency Simple,"[24, 30, 31, 40, 44, 45]","[3, 16, 23, 30, 38, 53]",1,0.16666666666666666,1,5,5,True,,2025-11-09,2
Markov 1st Order,"[np.int64(1), np.int64(19), np.int64(24), np.int64(25), np.int64(31), np.int64(38)]","[3, 16, 23, 30, 38, 53]",1,0.16666666666666666,1,5,5,True,,2025-11-09,2
Markov 2nd Order,"[np.int64(1), np.int64(19), np.int64(24), np.int64(25), np.int64(31), np.int64(38)]","[3, 16, 23, 30, 38, 53]",1,0.16666666666666666,1,5,5,True,,2025-11-09,2
KNN (k=5),"[24, 31, 35, 40, 45, 51]","[3, 16, 23, 30, 38, 53]",0,0.0,0,6,6,True,,2025-11-09,2
KNN Ensemble,"[24, 31, 35, 40, 45, 51]","[3, 16, 23, 30, 38, 53]",0,0.0,0,6,6,True,,2025-11-09,2
XGBoost,"[6, 9, 29, 30, 44, 45]","[3, 16, 23, 30, 38, 53]",1,0.16666666666666666,1,5,5,True,,2025-11-09,2
